facility_id,zipcode,program_type,facility_name,total_capacity,under5_capacity,preschool_capacity,school_age_capacity,children_capacity,latitude,longitude,m1_max_expand,m1_unit_cost,m2_max_expand,m2_tier1_cap,m2_tier2_cap,m2_tier3_cap,m2_ucost_t1,m2_ucost_t2,m2_ucost_t3
51349,10474,FDC,"Valerio, Gladys",6,6,0,0,6,40.818399,-73.888816,7.199999999999999,3533.3333333333335,1.2000000000000002,0.6000000000000001,0.8999999999999999,1.2000000000000002,3533.3333333333335,3733.3333333333335,4333.333333333333
73544,10017,SACC,YMCA OF GREATER NY,60,0,0,60,0,40.753216,-73.970794,72.0,533.3333333333334,12.0,6.0,9.0,12.0,533.3333333333334,733.3333333333334,1333.3333333333333
108407,11225,GFDC,"Almond Tree Group Family Day Care, LLC",16,12,0,4,12,40.6628,-73.9546,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
111953,11226,GFDC,"Williams, Petal",16,12,0,4,12,40.6467,-73.957,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
126425,10465,GFDC,"Hernandez, Lidia",12,12,0,0,12,40.841228,-73.823572,14.399999999999999,1866.6666666666667,2.4000000000000004,1.2000000000000002,1.7999999999999998,2.4000000000000004,1866.6666666666667,2066.6666666666665,2666.6666666666665
234238,10469,GFDC,"Navedo, Edith",16,12,0,4,12,40.865752,-73.847882,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
250057,10473,SACC,KIPS BAY BOYS & GIRLS CLUB,240,0,0,240,0,40.819564,-73.848827,260.0,283.3333333333333,48.0,24.0,36.0,48.0,283.3333333333333,483.3333333333333,1083.3333333333333
269090,11378,SACC,Precious Moments After School #2,15,0,0,15,0,40.721854,-73.903974,18.0,1533.3333333333333,3.0,1.5,2.25,3.0,1533.3333333333333,1733.3333333333333,2333.3333333333335
274852,10460,GFDC,"Fernandez, Luz",12,12,0,0,12,40.839556,-73.868169,14.399999999999999,1866.6666666666667,2.4000000000000004,1.2000000000000002,1.7999999999999998,2.4000000000000004,1866.6666666666667,2066.6666666666665,2666.6666666666665
333723,11367,GFDC,"Bahar, Yaffa",16,12,0,4,12,40.728,-73.8195,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
340346,11422,GFDC,"Dundas, Deon",16,12,0,4,12,40.6621,-73.7353,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
349917,10452,GFDC,"Seda, Lucy",10,10,0,0,10,40.830097,-73.921286,12.0,2200.0,2.0,1.0,1.5,2.0,2200.0,2400.0,3000.0
