facility_id,zipcode,current_slots,slots_added,expansion_pct,tier1_slots,tier2_slots,tier3_slots,expansion_cost
111953,11226,16,0.26666667,1.6666666875,0.26666667,0.0,0.0,386.6666715
274852,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
620002,11366,16,1.6,10.0,1.6,0.0,0.0,2320.0
708508,11364,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
911887,11385,16,1.6,10.0,1.6,0.0,0.0,2320.0
267366,11210,16,1.6,10.0,1.6,0.0,0.0,2320.0
404046,11226,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
732829,11411,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
189651,11385,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
269754,10033,14,0.93333333,6.666666642857143,0.93333333,0.0,0.0,1519.9999945714287
183462,11203,16,1.6,10.0,1.6,0.0,0.0,2320.0
663091,10040,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
606328,11361,16,0.26666667,1.6666666875,0.26666667,0.0,0.0,386.6666715
702707,10024,16,1.6,10.0,1.6,0.0,0.0,2320.0
823379,10473,12,1.2,10.0,1.2,0.0,0.0,2240.0
761930,10451,12,1.2,10.0,1.2,0.0,0.0,2240.0
775515,11366,16,1.6,10.0,1.6,0.0,0.0,2320.0
383087,11225,14,0.7,5.0,0.7,0.0,0.0,1140.0000000000002
388051,11691,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
772352,11106,16,1.6,10.0,1.6,0.0,0.0,2320.0
763710,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
768279,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
422386,11203,16,1.6,10.0,1.6,0.0,0.0,2320.0
338029,10002,14,2.0999999999999996,14.999999999999996,1.4,0.7,0.0,3560.000000000001
715176,10302,16,1.6,10.0,1.6,0.0,0.0,2320.0
206177,11366,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
877787,10461,16,1.6,10.0,1.6,0.0,0.0,2320.0
866954,10475,16,1.6,10.0,1.6,0.0,0.0,2320.0
607806,10461,16,1.6,10.0,1.6,0.0,0.0,2320.0
455098,11214,16,0.53333333,3.3333333125,0.53333333,0.0,0.0,773.3333285000001
730725,11210,16,1.6,10.0,1.6,0.0,0.0,2320.0
474217,11217,16,1.6,10.0,1.6,0.0,0.0,2320.0
864716,11364,16,1.6,10.0,1.6,0.0,0.0,2320.0
816768,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
473178,11433,16,1.6,10.0,1.6,0.0,0.0,2320.0
232025,11691,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
260106,10475,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
260924,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
535618,11106,16,1.6,10.0,1.6,0.0,0.0,2320.0
304292,11417,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
775633,11372,12,1.2,10.0,1.2,0.0,0.0,2240.0
72491,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
835787,11417,16,1.6,10.0,1.6,0.0,0.0,2320.0
309271,11433,16,1.6,10.0,1.6,0.0,0.0,2320.0
337507,11225,12,1.2,10.0,1.2,0.0,0.0,2240.0
867514,11364,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
882844,10475,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
752110,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
325727,11411,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
370209,11417,16,1.6,10.0,1.6,0.0,0.0,2320.0
152381,11207,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
698932,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
454206,10475,14,2.0999999999999996,14.999999999999996,1.4,0.7,0.0,3560.000000000001
875139,10473,16,1.6,10.0,1.6,0.0,0.0,2320.0
209561,11203,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
794252,10461,16,1.6,10.0,1.6,0.0,0.0,2320.0
695557,11373,16,1.6,10.0,1.6,0.0,0.0,2320.0
