location_id,zipcode,latitude,longitude,size,total_slots,under5_slots,build_cost,equip_cost,total_cost
0,10001.0,40.7418931677079,-74.00014023998185,L,400,200,115000,20000,135000
1,10001.0,40.7520069733203,-74.00543584763324,L,400,200,115000,20000,135000
15,10001.0,40.739652720061194,-74.00186196591598,S,100,50,65000,5000,70000
50,10001.0,40.745864319114894,-74.00224272363971,L,400,200,115000,20000,135000
104,10002.0,40.72315085529299,-73.982300656275,L,400,200,115000,20000,135000
114,10002.0,40.72125786743123,-73.99451707526116,L,400,200,115000,20000,135000
123,10002.0,40.719865782686334,-73.98950547588738,L,400,200,115000,20000,135000
130,10002.0,40.72394234083881,-73.97923389384883,L,400,200,115000,20000,135000
193,10002.0,40.7226766435667,-73.98102036712247,L,400,200,115000,20000,135000
197,10002.0,40.719937063233616,-73.99574647265105,L,400,200,115000,20000,135000
200,10003.0,40.73315760541562,-73.99899872608688,L,400,200,115000,20000,135000
216,10003.0,40.74017701714701,-73.97990150118302,L,400,200,115000,20000,135000
244,10003.0,40.739565686817706,-73.98870845865042,L,400,200,115000,20000,135000
281,10003.0,40.729820047753385,-73.98134585671502,L,400,200,115000,20000,135000
282,10003.0,40.72337156926896,-73.99883807283597,L,400,200,115000,20000,135000
322,10004.0,40.720409248748105,-74.00427784116518,L,400,200,115000,20000,135000
345,10004.0,40.71070652573022,-73.99706385658111,M,200,100,95000,10000,105000
434,10005.0,40.709030553935314,-74.00144053407199,L,400,200,115000,20000,135000
436,10005.0,40.70445746049244,-74.00033824489746,L,400,200,115000,20000,135000
526,10006.0,40.70245038213693,-74.01293369745885,M,200,100,95000,10000,105000
629,10007.0,40.722831141721485,-74.0143370361693,L,400,200,115000,20000,135000
667,10007.0,40.70686077358556,-74.00052019811996,L,400,200,115000,20000,135000
686,10007.0,40.71311606084586,-74.01440761902967,S,100,50,65000,5000,70000
711,10009.0,40.716411714791725,-73.97030144114109,L,400,200,115000,20000,135000
721,10009.0,40.71764947848497,-73.98949010364382,L,400,200,115000,20000,135000
725,10009.0,40.736098038147055,-73.9746866683225,L,400,200,115000,20000,135000
744,10009.0,40.71724814073539,-73.97139737225733,L,400,200,115000,20000,135000
755,10009.0,40.72861683124885,-73.9729402304789,L,400,200,115000,20000,135000
784,10009.0,40.72326847406496,-73.98434217645979,L,400,200,115000,20000,135000
840,10010.0,40.72784081436095,-73.98011906382729,L,400,200,115000,20000,135000
847,10010.0,40.74090477882887,-73.9818667186759,L,400,200,115000,20000,135000
857,10010.0,40.74663143111717,-73.98066788363784,L,400,200,115000,20000,135000
861,10010.0,40.74553847265258,-73.97413203731907,L,400,200,115000,20000,135000
883,10010.0,40.72929284952197,-73.98287778482224,L,400,200,115000,20000,135000
910,10011.0,40.73048698295481,-73.99737029352167,L,400,200,115000,20000,135000
932,10011.0,40.7385920072691,-74.00561543707151,L,400,200,115000,20000,135000
936,10011.0,40.7391575618584,-73.99027557729752,L,400,200,115000,20000,135000
942,10011.0,40.74856008804078,-73.99361388716547,L,400,200,115000,20000,135000
1003,10012.0,40.720830092774975,-73.98902502285758,L,400,200,115000,20000,135000
1098,10012.0,40.72642265498694,-74.00182772580906,L,400,200,115000,20000,135000
