zipcode,pop_0_5,pop_0_12,is_high_demand,total_slots,under5_slots,min_total_slots,min_u5_slots,total_gap,u5_gap,is_desert,u5_deficit,n_expanded,slots_from_expansion,expansion_cost,n_new_facilities,slots_from_new,u5_from_new,new_build_cost
10001,744,1999,False,609,24,667,496,58,472,True,True,0.0,0.0,0.0,4,1300,650,475000
10002,2142,6787,True,4724,216,3394,1428,0,1212,False,True,8.0,14.8,23520.0,6,2400,1200,810000
10003,1440,2950,False,1995,0,984,960,0,960,False,True,0.0,0.0,0.0,5,2000,1000,675000
10004,433,695,False,263,0,232,289,0,289,False,True,0.0,0.0,0.0,2,600,300,240000
10005,484,802,True,39,0,402,323,363,323,True,True,0.0,0.0,0.0,2,800,400,270000
10006,128,261,True,156,14,131,86,0,72,False,True,0.0,0.0,0.0,1,200,100,105000
10007,605,1201,False,284,0,401,404,117,404,True,True,0.0,0.0,0.0,3,900,450,340000
10009,1896,4471,False,1784,124,1491,1264,0,1140,False,True,0.0,0.0,0.0,6,2400,1200,810000
10010,1422,3488,False,234,0,1163,948,929,948,True,True,0.0,0.0,0.0,5,2000,1000,675000
10011,1209,3091,False,1956,48,1031,806,0,758,False,True,0.0,0.0,0.0,4,1600,800,540000
10012,613,977,False,24,18,326,409,302,391,True,True,0.0,0.0,0.0,2,800,400,270000
10013,1249,3045,False,435,12,1016,833,581,821,True,True,0.0,0.0,0.0,6,1800,900,680000
10014,708,1497,True,1711,71,749,472,0,401,False,True,1.0,10.62963,2496.2963832752616,2,800,400,270000
10016,1798,3764,False,823,12,1255,1199,432,1187,True,True,0.0,0.0,0.0,6,2400,1200,810000
10017,193,486,True,107,0,244,129,137,129,True,True,0.0,0.0,0.0,1,400,200,135000
10018,242,522,True,0,0,262,162,262,162,True,True,0.0,0.0,0.0,1,400,200,135000
10019,1099,2048,True,591,48,1025,733,434,685,True,True,0.0,0.0,0.0,4,1400,700,510000
10021,1787,4108,False,460,0,1370,1192,910,1192,True,True,0.0,0.0,0.0,6,2400,1200,810000
10022,1228,2694,False,16,12,899,819,883,807,True,True,0.0,0.0,0.0,5,1700,850,610000
10023,3548,7081,False,1099,18,2361,2366,1262,2348,True,True,0.0,0.0,0.0,12,4800,2400,1620000
10024,4221,8570,False,1243,105,2857,2814,1614,2709,True,True,7.0,12.0,17560.0,14,5400,2700,1860000
10025,4499,9813,False,2513,275,3272,3000,759,2725,True,True,0.0,0.0,0.0,14,5600,2800,1890000
10026,2222,5265,False,1706,366,1756,1482,50,1116,True,True,0.0,0.0,0.0,6,2400,1200,810000
10027,3636,8503,False,3693,350,2835,2424,0,2074,False,True,0.0,0.0,0.0,11,4200,2100,1455000
10028,1719,4731,False,348,60,1578,1146,1230,1086,True,True,0.0,0.0,0.0,6,2200,1100,780000
10029,3965,9266,True,3358,358,4634,2644,1276,2286,True,True,0.0,0.0,0.0,12,4600,2300,1590000
10030,1872,4071,True,1272,171,2036,1248,764,1077,True,True,0.0,0.0,0.0,6,2200,1100,780000
10031,2359,6365,True,1577,548,3183,1573,1606,1025,True,True,21.0,31.7333333,48013.333285,5,2000,1000,675000
10032,2238,5686,True,3222,768,2844,1492,0,724,False,True,0.0,0.0,0.0,4,1600,800,540000
10033,3206,6976,True,2893,880,3489,2138,596,1258,True,True,7.0,8.33333333,14999.99999457143,7,2500,1250,880000
10034,2615,5566,True,3126,791,2784,1744,0,953,False,True,0.0,0.0,0.0,5,2000,1000,675000
10035,2382,5479,True,2059,102,2740,1588,681,1486,True,True,0.0,0.0,0.0,8,3000,1500,1050000
10036,634,1532,False,686,0,511,423,0,423,False,True,0.0,0.0,0.0,3,900,450,340000
10037,1070,2472,True,586,163,1237,714,651,551,True,True,0.0,0.0,0.0,3,1200,600,405000
10038,772,1991,False,802,31,664,515,0,484,False,True,0.0,0.0,0.0,3,1000,500,375000
10039,1898,4439,True,1423,266,2220,1266,797,1000,True,True,0.0,0.0,0.0,5,2000,1000,675000
10040,1970,5454,True,2594,879,2728,1314,134,435,True,True,30.0,44.86666667,67306.6666715,2,800,400,270000
10044,939,1703,False,489,12,568,626,79,614,True,True,0.0,0.0,0.0,4,1300,650,475000
10065,2230,4000,False,845,40,1334,1487,489,1447,True,True,0.0,0.0,0.0,8,2900,1450,1015000
10069,690,1231,False,16,12,411,460,395,448,True,True,0.0,0.0,0.0,3,900,450,340000
10075,1243,2442,False,235,0,815,829,580,829,True,True,0.0,0.0,0.0,5,1700,850,610000
10128,2791,5477,False,301,0,1826,1861,1525,1861,True,True,0.0,0.0,0.0,10,3800,1900,1320000
10162,134,151,False,0,0,51,90,51,90,True,True,0.0,0.0,0.0,1,200,100,105000
10280,318,611,False,509,0,204,212,0,212,False,True,0.0,0.0,0.0,2,500,250,205000
10282,418,1279,False,279,0,427,279,148,279,True,True,0.0,0.0,0.0,2,600,300,240000
10301,2780,5928,False,1905,278,1977,1854,72,1576,True,True,0.0,0.0,0.0,8,3200,1600,1080000
10302,1338,3193,True,744,190,1597,892,853,702,True,True,2.0,2.6666667000000004,3866.6667150000003,4,1400,700,510000
10303,1262,4083,True,1609,486,2042,842,433,356,True,True,0.0,0.0,0.0,2,800,400,270000
10304,2234,6630,False,2020,397,2211,1490,191,1093,True,True,0.0,0.0,0.0,6,2200,1100,780000
10305,1653,5039,False,786,150,1680,1102,894,952,True,True,0.0,0.0,0.0,5,2000,1000,675000
10306,2606,7517,False,578,108,2506,1738,1928,1630,True,True,0.0,0.0,0.0,9,3300,1650,1150000
10307,1098,2109,False,259,0,704,732,445,732,True,True,0.0,0.0,0.0,4,1600,800,540000
10308,1106,3693,False,431,30,1232,738,801,708,True,True,0.0,0.0,0.0,4,1600,800,540000
10309,1936,5108,False,297,9,1703,1291,1406,1282,True,True,0.0,0.0,0.0,7,2600,1300,915000
10310,2167,4575,False,1136,194,1526,1445,390,1251,True,True,1.0,1.0,1866.6666666666667,7,2500,1250,880000
10312,3668,9744,False,1140,127,3249,2446,2109,2319,True,True,0.0,0.0,0.0,12,4800,2400,1620000
10314,5269,13869,False,1654,156,4624,3513,2970,3357,True,True,0.0,0.0,0.0,17,6800,3400,2295000
10451,3494,8881,True,3287,1025,4441,2330,1154,1305,True,True,5.0,5.0,9333.333333333334,7,2600,1300,915000
10452,5461,14770,True,6984,2895,7386,3641,402,746,True,True,0.0,0.0,0.0,4,1600,800,540000
10453,5476,14986,True,6841,2838,7494,3651,653,813,True,True,11.0,13.0,24266.666666666668,4,1600,800,540000
10454,2870,7588,True,3163,595,3795,1914,632,1319,True,True,0.0,0.0,0.0,7,2800,1400,945000
10455,2507,8141,True,3035,1002,4071,1672,1036,670,True,True,0.0,0.0,0.0,4,1400,700,510000
10456,6718,16312,True,6897,2340,8157,4479,1260,2139,True,True,0.0,0.0,0.0,11,4400,2200,1485000
10457,6785,16573,True,6559,2544,8287,4524,1728,1980,True,True,0.0,0.0,0.0,10,4000,2000,1350000
10458,5585,14991,True,4657,2395,7496,3724,2839,1329,True,True,2.0,39.0,11108.41121495327,7,2800,1400,945000
10459,3973,9461,True,4018,1300,4731,2649,713,1349,True,True,0.0,0.0,0.0,7,2800,1400,945000
10460,3983,10346,True,4794,1623,5174,2656,380,1033,True,True,28.0,34.9,61980.00000000001,5,2000,1000,675000
10461,2750,7588,True,1462,414,3795,1834,2333,1420,True,True,17.0,23.4666667,38026.666715,7,2800,1400,945000
10462,5581,12805,True,3425,1168,6403,3721,2978,2553,True,True,0.0,0.0,0.0,13,5200,2600,1755000
10463,4453,10228,False,4249,1189,3410,2969,0,1780,False,True,0.0,0.0,0.0,9,3600,1800,1215000
10464,75,499,False,114,12,167,50,53,38,True,True,0.0,0.0,0.0,1,100,50,70000
10465,3268,6903,False,1888,648,2302,2179,414,1531,True,True,0.0,0.0,0.0,8,3200,1600,1080000
10466,4393,11410,True,3192,1348,5706,2929,2514,1581,True,True,0.0,0.0,0.0,8,3200,1600,1080000
10467,6341,16398,True,6220,2245,8200,4228,1980,1983,True,True,0.0,0.0,0.0,10,4000,2000,1350000
10468,6671,15037,True,4292,2477,7519,4448,3227,1971,True,True,0.0,0.0,0.0,10,4000,2000,1350000
