zipcode,status,objective_value,expansion_cost,u5_expansion_equip,build_cost,u5_new_equip,expansion_slots,u5_expansion_slots,new_small,new_medium,new_large,new_total_slots,new_u5_slots,total_gap,u5_gap,is_high_demand,is_desert,pop_0_12,pop_0_5,current_total_slots,current_u5_slots,min_total_slots,min_u5_slots,req_total_gap,req_u5_gap
10001,OPTIMAL,218428.8538,171228.85,47200.0,0.0,0.0,472.0,472.0,0,0,0,0.0,0.0,58,472,False,True,1999,744,609,24,667,496,58,472
10002,OPTIMAL,457324.4114,336124.41,121200.0,0.0,0.0,1212.0,1212.0,0,0,0,0.0,0.0,0,1212,True,False,6787,2142,4724,216,3394,1428,0,1212
10003,OPTIMAL,458181.8968,247181.9,76000.0,115000.0,20000.0,760.0,760.0,0,0,1,400.0,200.0,0,960,False,False,2950,1440,1995,0,984,960,0,960
10004,OPTIMAL,160820.0,66920.0,23900.0,65000.0,5000.0,239.0,239.0,1,0,0,100.0,50.0,0,289,False,False,695,433,263,0,232,289,0,289
10005,OPTIMAL,258694.8718,16394.87,2300.0,210000.0,30000.0,23.0,23.0,0,1,1,600.0,300.0,363,323,True,True,802,484,39,0,402,323,363,323
10006,OPTIMAL,30830.7692,23630.77,7200.0,0.0,0.0,72.0,72.0,0,0,0,0.0,0.0,0,72,True,False,261,128,156,14,131,86,0,72
10007,OPTIMAL,218866.6667,63466.67,20400.0,115000.0,20000.0,204.0,204.0,0,0,1,400.0,200.0,117,404,False,True,1201,605,284,0,401,404,117,404
10009,OPTIMAL,454869.2597,340869.26,114000.0,0.0,0.0,1140.0,1140.0,0,0,0,0.0,0.0,0,1140,False,False,4471,1896,1784,124,1491,1264,0,1140
10010,OPTIMAL,605542.8571,50742.86,14800.0,460000.0,80000.0,148.0,148.0,0,0,4,1600.0,800.0,929,948,False,True,3488,1422,234,0,1163,948,929,948
10011,OPTIMAL,343279.9657,152479.97,55800.0,115000.0,20000.0,558.0,558.0,0,0,1,400.0,200.0,0,758,False,False,3091,1209,1956,48,1031,806,0,758
10012,OPTIMAL,270000.0,0.0,0.0,230000.0,40000.0,0.0,0.0,0,0,2,800.0,400.0,302,391,False,True,977,613,24,18,326,409,302,391
10013,OPTIMAL,440101.2422,128001.24,42100.0,230000.0,40000.0,421.0,421.0,0,0,2,800.0,400.0,581,821,False,True,3045,1249,435,12,1016,833,581,821
10014,OPTIMAL,163670.9724,123570.97,40100.0,0.0,0.0,401.0,401.0,0,0,0,0.0,0.0,0,401,True,False,1497,708,1711,71,749,472,0,401
10016,OPTIMAL,742147.4006,48447.4,18700.0,575000.0,100000.0,187.0,187.0,0,0,5,2000.0,1000.0,432,1187,False,True,3764,1798,823,12,1255,1199,432,1187
10017,OPTIMAL,120678.7234,42778.72,7900.0,65000.0,5000.0,79.0,79.0,1,0,0,100.0,50.0,137,129,True,True,486,193,107,0,244,129,137,129
10018,OPTIMAL,135000.0,0.0,0.0,115000.0,20000.0,0.0,0.0,0,0,1,400.0,200.0,262,162,True,True,522,242,0,0,262,162,262,162
10019,OPTIMAL,340488.1223,156988.12,48500.0,115000.0,20000.0,485.0,485.0,0,0,1,400.0,200.0,434,685,True,True,2048,1099,591,48,1025,733,434,685
10021,OPTIMAL,810000.0,0.0,0.0,690000.0,120000.0,0.0,0.0,0,0,6,2400.0,1200.0,910,1192,False,True,4108,1787,460,0,1370,1192,910,1192
10022,OPTIMAL,550850.0,10150.0,700.0,460000.0,80000.0,7.0,7.0,0,0,4,1600.0,800.0,883,807,False,True,2694,1228,16,12,899,819,883,807
10023,OPTIMAL,1333816.6667,294016.67,94800.0,805000.0,140000.0,948.0,948.0,0,0,7,2800.0,1400.0,1262,2348,False,True,7081,3548,1099,18,2361,2366,1262,2348
10024,OPTIMAL,1694450.0,273550.0,70900.0,1150000.0,200000.0,709.0,709.0,0,0,10,4000.0,2000.0,1614,2709,False,True,8570,4221,1243,105,2857,2814,1614,2709
10025,OPTIMAL,1409430.5019,676930.5,192500.0,460000.0,80000.0,1925.0,1925.0,0,0,4,1600.0,800.0,759,2725,False,True,9813,4499,2513,275,3272,3000,759,2725
10026,OPTIMAL,459683.8085,348083.81,111600.0,0.0,0.0,1116.0,1116.0,0,0,0,0.0,0.0,50,1116,False,True,5265,2222,1706,366,1756,1482,50,1116
10027,OPTIMAL,876604.2913,669204.29,207400.0,0.0,0.0,2074.0,2074.0,0,0,0,0.0,0.0,0,2074,False,False,8503,3636,3693,350,2835,2424,0,2074
10028,OPTIMAL,706243.038,22643.04,8600.0,575000.0,100000.0,86.0,86.0,0,0,5,2000.0,1000.0,1230,1086,False,True,4731,1719,348,60,1578,1146,1230,1086
10029,OPTIMAL,966482.669,737882.67,228600.0,0.0,0.0,2286.0,2286.0,0,0,0,0.0,0.0,1276,2286,True,True,9266,3965,3358,358,4634,2644,1276,2286
10030,OPTIMAL,476250.0,368550.0,107700.0,0.0,0.0,1077.0,1077.0,0,0,0,0.0,0.0,764,1077,True,True,4071,1872,1272,171,2036,1248,764,1077
10031,OPTIMAL,575963.1371,128463.14,42500.0,345000.0,60000.0,425.0,425.0,0,0,3,1200.0,600.0,1606,1025,True,True,6365,2359,1577,548,3183,1573,1606,1025
10032,OPTIMAL,292000.7694,219600.77,72400.0,0.0,0.0,724.0,724.0,0,0,0,0.0,0.0,0,724,True,False,5686,2238,3222,768,2844,1492,0,724
10033,OPTIMAL,507551.6517,381751.65,125800.0,0.0,0.0,1258.0,1258.0,0,0,0,0.0,0.0,596,1258,True,True,6976,3206,2893,880,3489,2138,596,1258
10034,OPTIMAL,391626.7978,296326.8,95300.0,0.0,0.0,953.0,953.0,0,0,0,0.0,0.0,0,953,True,False,5566,2615,3126,791,2784,1744,0,953
10035,OPTIMAL,594521.0884,445921.09,148600.0,0.0,0.0,1486.0,1486.0,0,0,0,0.0,0.0,681,1486,True,True,5479,2382,2059,102,2740,1588,681,1486
10036,OPTIMAL,162148.3619,119848.36,42300.0,0.0,0.0,423.0,423.0,0,0,0,0.0,0.0,0,423,False,False,1532,634,686,0,511,423,0,423
10037,OPTIMAL,286915.3846,116815.38,35100.0,115000.0,20000.0,351.0,351.0,0,0,1,400.0,200.0,651,551,True,True,2472,1070,586,163,1237,714,651,551
10038,OPTIMAL,206037.047,157637.05,48400.0,0.0,0.0,484.0,484.0,0,0,0,0.0,0.0,0,484,False,False,1991,772,802,31,664,515,0,484
10039,OPTIMAL,395081.3414,295081.34,100000.0,0.0,0.0,1000.0,1000.0,0,0,0,0.0,0.0,797,1000,True,True,4439,1898,1423,266,2220,1266,797,1000
10040,OPTIMAL,161910.1543,118410.15,43500.0,0.0,0.0,435.0,435.0,0,0,0,0.0,0.0,134,435,True,True,5454,1970,2594,879,2728,1314,134,435
10044,OPTIMAL,314600.0,138200.0,41400.0,115000.0,20000.0,414.0,414.0,0,0,1,400.0,200.0,79,614,False,True,1703,939,489,12,568,626,79,614
10065,OPTIMAL,876099.381,156399.38,44700.0,575000.0,100000.0,447.0,447.0,0,0,5,2000.0,1000.0,489,1447,False,True,4000,2230,845,40,1334,1487,489,1447
10069,OPTIMAL,340000.0,0.0,0.0,295000.0,45000.0,0.0,0.0,1,0,2,900.0,450.0,395,448,False,True,1231,690,16,12,411,460,395,448
10075,OPTIMAL,493189.3617,65289.36,22900.0,345000.0,60000.0,229.0,229.0,0,0,3,1200.0,600.0,580,829,False,True,2442,1243,235,0,815,829,580,829
