zipcode,total_gap,u5_gap,status,total_cost,expansion_cost,u5_equip_expansion,build_cost,u5_equip_new,slots_from_expansion,u5_from_expansion,slots_from_new,u5_from_new,new_small,new_medium,new_large,chosen_locations
10001,58,472,OPTIMAL,312344.8101,35144.81,7200.0,230000.0,40000.0,72.0,72.0,800.0,400.0,0,0,2,"[{'location_id': 94, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.74689326005681, 'longitude': -74.004547645897}, {'location_id': 99, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.74340796425707, 'longitude': -73.99703212929596}]"
10002,0,1212,OPTIMAL,710960.0,129760.0,41200.0,460000.0,80000.0,412.0,412.0,1600.0,800.0,0,0,4,"[{'location_id': 100, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.70599985603802, 'longitude': -73.9849058978785}, {'location_id': 102, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.721387299429786, 'longitude': -73.98351929079634}, {'location_id': 197, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.719937063233616, 'longitude': -73.99574647265105}, {'location_id': 199, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.709772931019664, 'longitude': -73.98415717711778}]"
10003,0,960,OPTIMAL,595668.2028,39668.2,16000.0,460000.0,80000.0,160.0,160.0,1600.0,800.0,0,0,4,"[{'location_id': 200, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.73315760541562, 'longitude': -73.99899872608688}, {'location_id': 241, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.72411914953047, 'longitude': -73.97985324395925}, {'location_id': 264, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.723860417409014, 'longitude': -73.98753614338018}, {'location_id': 298, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.734664364590856, 'longitude': -73.99346566633919}]"
10004,0,289,OPTIMAL,229807.6923,20907.69,3900.0,180000.0,25000.0,39.0,39.0,500.0,250.0,1,0,1,"[{'location_id': 320, 'size': 'small', 'total_slots': 100, 'under5_slots': 50, 'build_cost': 65000, 'latitude': 40.7098623302553, 'longitude': -74.01261374618913}, {'location_id': 367, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.71761742796619, 'longitude': -74.00798240872736}]"
10005,363,323,OPTIMAL,270000.0,0.0,0.0,230000.0,40000.0,0.0,0.0,800.0,400.0,0,0,2,"[{'location_id': 400, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.70187181223485, 'longitude': -74.01098921943765}, {'location_id': 481, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.69644908977451, 'longitude': -74.00801039317821}]"
10006,0,72,OPTIMAL,83820.5128,11620.51,2200.0,65000.0,5000.0,22.0,22.0,100.0,50.0,1,0,0,"[{'location_id': 594, 'size': 'small', 'total_slots': 100, 'under5_slots': 50, 'build_cost': 65000, 'latitude': 40.71428075782923, 'longitude': -74.02061519795956}]"
10007,117,404,OPTIMAL,271644.4444,1244.44,400.0,230000.0,40000.0,4.0,4.0,800.0,400.0,0,0,2,"[{'location_id': 678, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.71911585257334, 'longitude': -73.99703602094311}, {'location_id': 699, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.716777280734455, 'longitude': -74.00696453738601}]"
10009,0,1140,OPTIMAL,731098.7654,42098.77,14000.0,575000.0,100000.0,140.0,140.0,2000.0,1000.0,0,0,5,"[{'location_id': 702, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.72827565807685, 'longitude': -73.98188344060516}, {'location_id': 764, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.73378834924048, 'longitude': -73.98409987198599}, {'location_id': 774, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.724749228113865, 'longitude': -73.98958193428957}, {'location_id': 792, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.719037345194806, 'longitude': -73.98236397521663}, {'location_id': 798, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.71996799045566, 'longitude': -73.98088317573723}]"
10010,929,948,OPTIMAL,675000.0,0.0,0.0,575000.0,100000.0,0.0,0.0,2000.0,1000.0,0,0,5,"[{'location_id': 800, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.74523366441694, 'longitude': -73.97468182404445}, {'location_id': 869, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.74417869338908, 'longitude': -73.98889225211668}, {'location_id': 871, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.731061317725114, 'longitude': -73.9718413276544}, {'location_id': 872, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.73426874839557, 'longitude': -73.97899153188074}, {'location_id': 899, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.74317673381684, 'longitude': -73.97700135202162}]"
10011,0,758,OPTIMAL,459380.8429,38580.84,15800.0,345000.0,60000.0,158.0,158.0,1200.0,600.0,0,0,3,"[{'location_id': 902, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.732045591953266, 'longitude': -73.99588974561908}, {'location_id': 973, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.74828970052402, 'longitude': -74.00385959557318}, {'location_id': 999, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.74735957158003, 'longitude': -74.00053391895247}]"
