zipcode,pop_0_5,pop_6_12,pop_0_12,avg_income,employment_rate,num_facilities,total_slots,under5_slots,num_candidate_sites,income_imputed,employment_imputed,is_high_demand,demand_ratio,min_total_slots,min_u5_slots,is_desert,u5_deficit,total_gap,u5_gap
10001,744,1255,1999,102878.03360298694,0.5950970226633091,9,609,24,100,False,False,False,0.3333333333333333,667,496,True,True,58,472
10002,2142,4645,6787,59604.04116465864,0.5206618050654748,56,4724,216,100,False,False,True,0.5,3394,1428,False,True,0,1212
10003,1440,1510,2950,114273.04964539009,0.4972437218107912,7,1995,0,100,False,False,False,0.3333333333333333,984,960,False,True,0,960
10004,433,262,695,132004.3103448276,0.5066608429788163,2,263,0,100,False,False,False,0.3333333333333333,232,289,False,True,0,289
10005,484,318,802,121437.7133105802,0.6658334280195433,1,39,0,100,False,False,True,0.5,402,323,True,True,363,323
10006,128,133,261,126377.1186440678,0.6316916488222698,1,156,14,100,False,False,True,0.5,131,86,False,True,0,72
10007,605,596,1201,138853.90428211587,0.528910205169198,3,284,0,100,False,False,False,0.3333333333333333,401,404,True,True,117,404
10009,1896,2575,4471,77133.23353293413,0.5145674278475812,23,1784,124,100,False,False,False,0.3333333333333333,1491,1264,False,True,0,1140
10010,1422,2066,3488,116272.69881026926,0.4927491514964517,3,234,0,100,False,False,False,0.3333333333333333,1163,948,True,True,929,948
10011,1209,1882,3091,120420.79207920792,0.5569999212164185,7,1956,48,100,False,False,False,0.3333333333333333,1031,806,False,True,0,758
10012,613,364,977,111131.78633975482,0.5382730015082956,2,24,18,100,False,False,False,0.3333333333333333,326,409,True,True,302,391
10013,1249,1796,3045,106023.04469273744,0.4861983499134213,5,435,12,100,False,False,False,0.3333333333333333,1016,833,True,True,581,821
10014,708,789,1497,124233.12883435584,0.6086012015885408,6,1711,71,100,False,False,True,0.5,749,472,False,True,0,401
10016,1798,1966,3764,109298.7308818744,0.5652117934852582,3,823,12,100,False,False,False,0.3333333333333333,1255,1199,True,True,432,1187
